"","location","examDate","patientID","subspecies","protocolImmobilisation","reason.for.immobilsation","sex","age","wild.or.captive","STT_OD","STT_OS","IOP_OD","IOP_OS","Flour_OD","Flour_OS","axial.globe.length_OD","anterior.chamber.depth_OD","axial.lens.thickness_OD","posterior.segment.depth_OD","axial.globe.length_OS","anterior.chamber.depth_OS","axial.lens.thickness_OS","posterior.segment.depth_OS","crystalline.lens.thickness_OD","crystalline.lens.thickness_OS","R1_OD.mm","R1_OD.D","R2_OD.mm","R2_OD.D","R1.R2.avg_OD.mm","R1.R2.avg_OD.D","R1_OS.mm","R1_OS.D","R2_OS.mm","R2_OS.D","R1.R2.avg_OS.mm","R1.R2.avg_OS.D","path_anterior synechiae_os","path_cataract_od","path_cataract_os","path_cataract_ou","path_corneal scar_od","path_corneal scar_os","path_corneal scar_ou","path_corneal ulcer_od","path_corneal ulcer_os","path_corneal ulcer_ou","path_follicular conjunctivitis_ou","path_foreign body - corneal_od","path_foreign body - intra-ocular_od","path_keratitis_od","path_keratitis_os","path_keratitis_ou","path_nuclear sclerosis_ou","path_pigmentary keratitis_od","path_pigmentary keratitis_ou","path_posterior synechiae_od","path_posterior synechiae_ou","path_ppm_od","path_ppm_ou"
"1","rust de winter",2021-10-05,"actual holkop calf xena","white rhino","std","horn reduction","female","subadult","captive camp",12,18,29,34,0,0,2.16,0.22,0.58,1.37,2.16,0.13,0.57,1.43,0.58,0.57,11.8,30.25,9.28,36.37,10.23,33,10.62,31.75,9.61,35.12,10.12,33.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2","rust de winter",2021-10-05,"actual holkop","white rhino","std","horn reduction","female","adult","captive camp",20,20,41,37,1,0,2.88,0.32,0.64,1.77,2.85,0.29,0.66,1.81,0.64,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","rust de winter",2021-10-05,"frikkie","white rhino","std","horn reduction","male","adult","captive camp",25,17,45,46,0,0,2.48,0.13,0.71,1.54,2.69,0.28,0.73,1.52,0.71,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4","rust de winter",2021-10-05,"holkop","white rhino","std","horn reduction","female","adult","captive camp",22,30,41,36,0,0,2.5,0.18,0.66,1.66,2.65,0.22,0.73,1.61,0.66,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"5","rust de winter",2021-10-05,"lucy","white rhino","std","horn reduction","female","adult","captive camp",24,20,23,41,0,0,2.6,0.28,0.68,1.51,2.61,0.32,0.64,1.51,0.68,0.64,10.98,30.75,10.45,32.25,10.72,31.5,10.73,31.5,10.19,33.12,10.46,32.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6","rust de winter",2021-10-05,"shadow calf/chrisjan","white rhino","std","horn reduction","male","calf","captive camp",17,12,25,29,0,0,2.44,0.29,0.55,1.53,2.42,0.3,0.55,1.51,0.55,0.55,12.06,28,8.05,41.87,10.06,33.5,10.5,32.12,10.22,33,10.36,32.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7","rust de winter",2021-10-05,"zonita calf/ferdi","white rhino","std","horn reduction","male","calf","captive camp",16,20,25,24,0,0,2.09,0.1,0.54,1.41,2.17,0.25,0.48,1.34,0.54,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","rust de winter",2021-10-05,"zonita","white rhino","std","horn reduction","female","adult","captive camp",30,18,35,47,0,0,2.45,0.13,0.64,1.55,2.5,0.14,0.65,1.6,0.64,0.65,NA,NA,NA,NA,NA,NA,11.75,28.75,11.09,29.5,11.42,29.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","rust de winter",2021-10-05,"shadow","white rhino","std","horn reduction","female","adult","captive camp",18,15,37,29,0,0,2.65,0.27,0.67,1.62,2.48,0.15,0.63,1.6,0.67,0.63,NA,NA,NA,NA,NA,NA,9.49,35.62,5.99,56.37,7.74,43.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","rust de winter",2021-10-06,"clyde","white rhino","std","horn reduction","male","adult","captive camp",31,22,45,38,0,0,2.5,0.36,0.62,1.46,2.23,0.14,0.64,1.45,0.62,0.64,10.61,31.75,10.15,33.25,10.38,32.5,10.85,31.12,10.24,33,10.55,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"11","rust de winter",2021-10-06,"kieries","white rhino","std","horn reduction","female","adult","captive camp",27,20,39,49,1,0,2.62,0.32,0.61,1.69,2.42,0.17,0.62,1.62,0.61,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12","rust de winter",2021-10-06,"makie","white rhino","std","horn reduction","female","adult","captive camp",18,18,56,68,0,0,2.36,0.18,0.62,1.55,2.48,0.33,0.57,1.57,0.62,0.57,11.69,28.87,11.14,30.25,11.42,29.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13","rust de winter",2021-10-06,"shana","white rhino","std","horn reduction","female","adult","captive camp",16,17,39,38,0,0,2.56,0.32,0.62,1.53,2.52,0.3,0.6,1.52,0.62,0.6,10.85,31.12,10.58,31.87,10.72,31.5,10.84,31.12,9.8,34.5,10.32,32.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"14","rust de winter",2021-10-06,"trompie","white rhino","std","horn reduction","male","adult","captive camp",11,20,44,36,0,0,2.36,0.18,0.62,1.55,2.48,0.33,0.57,1.57,0.62,0.57,NA,NA,NA,NA,NA,NA,12.03,28,10.7,31.5,11.37,29.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15","rietvlei",2021-11-09,"bravo","white rhino","std","horn reduction","male","adult","wild",17,15,74,43,0,0,2.71,0.3,0.7,1.58,2.67,0.3,0.69,1.54,0.7,0.69,11.68,28.87,10.64,31.75,11.16,30.25,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"16","rietvlei",2021-11-09,"quebec","white rhino","std","horn reduction","female","adult","wild",16,15,53,57,0,0,2.74,0.27,0.68,1.66,2.66,0.26,0.65,1.66,0.68,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17","rietvlei",2021-11-09,"ubuntu","white rhino","std","horn reduction","male","adult","wild",18,17,50,47,0,0,2.68,0.29,0.66,1.61,2.65,0.29,0.66,1.6,0.66,0.66,11.94,28.25,11.28,29.87,11.61,29.12,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18","rietvlei",2021-11-09,"victor","white rhino","std","horn reduction","male","adult","wild",15,30,35,51,0,0,2.59,0.24,0.64,1.67,2.72,0.28,0.62,1.7,0.64,0.62,12.06,28,9.14,36.87,10.6,31.87,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"19","rietvlei",2021-11-10,"hotel","white rhino","std","horn reduction","male","adult","wild",23,30,60,50,0,0,2.86,0.32,0.67,1.79,2.88,0.35,0.7,1.68,0.67,0.7,NA,NA,NA,NA,NA,NA,11.81,28.62,10.94,30.87,11.38,29.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20","rietvlei",2021-11-10,"india","white rhino","std","horn reduction","female","adult","wild",8,12,69,38,0,0,2.73,0.27,0.64,1.71,2.72,0.28,0.63,1.71,0.64,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","rietvlei",2021-11-10,"pippa","white rhino","std","horn reduction","female","adult","wild",20,18,39,43,0,0,2.83,0.31,0.67,1.71,2.83,0.32,0.63,1.72,0.67,0.63,NA,NA,NA,NA,NA,NA,11.63,29,11.1,30.37,11.37,29.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","rietvlei",2021-11-10,"zola/acutal juliette","white rhino","std","horn reduction","female","adult","wild",16,21,29,24,0,0,2.6,0.28,0.59,1.64,2.63,0.31,0.61,1.63,0.59,0.61,11.06,30.5,10.58,31.87,10.82,31.25,11.1,30.37,10.52,32.12,10.81,31.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","rietvlei",2021-11-24,"houdini","white rhino","std","horn reduction","male","adult","wild",16,16,54,32,0,0,2.51,0.16,0.67,1.65,2.79,0.26,0.69,1.71,0.67,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","rietvlei",2021-11-24,"pippa (second pippa?)","white rhino","std","horn reduction","female","adult","wild",21,20,38,55,0,0,2.68,0.27,0.65,1.72,2.71,0.32,0.63,1.62,0.65,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","rietvlei",2021-11-24,"sierra","white rhino","std","horn reduction","male","adult","wild",NA,NA,NA,NA,0,0,2.64,0.3,0.59,1.71,2.66,0.43,0.39,1.71,0.59,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26","rietvlei",2021-11-24,"acutal zola","white rhino","std","horn reduction","female","adult","wild",8,17,36,21,0,0,2.49,0.3,0.57,1.55,2.57,0.27,0.58,1.59,0.57,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27","pilanesberg",2022-01-24,"natural nr29","white rhino","std","horn reduction","female","adult","wild",16,16,64.5,53,0,0,2.53,0.19,0.63,1.67,2.47,0.28,0.58,1.62,0.63,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28","pilanesberg",2022-01-24,"nr2","white rhino","std","horn reduction","male","adult","wild",12,15,43,39.5,0,0,2.8,0.28,0.65,1.72,2.8,0.3,0.65,1.72,0.65,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","pilanesberg",2022-01-24,"nr24","white rhino","std","horn reduction","male","adult","wild",15,13,57,43,0,0,2.77,0.27,0.7,1.62,2.84,0.3,0.72,1.61,0.7,0.72,11.6,29.12,10.72,31.5,11.16,30.25,11.59,29.12,10.8,31.25,11.2,30.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30","pilanesberg",2022-01-24,"nr25","white rhino","std","horn reduction","male","adult","wild",19,12,57,60.5,0,0,2.68,0.27,0.66,1.64,2.78,0.27,0.7,1.65,0.66,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","pilanesberg",2022-01-24,"nr27","white rhino","std","horn reduction","male","adult","wild",25,15,48.5,53,0,0,2.63,0.29,0.7,1.51,2.59,0.26,0.7,1.54,0.7,0.7,11.41,29.62,10.64,31.75,11.03,30.62,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","pilanesberg",2022-01-25,"nr21","white rhino","std","horn reduction","female","subadult","wild",15,16,29,23.5,0,0,2.73,0.26,0.68,1.67,2.65,0.26,0.68,1.63,0.68,0.68,11.96,28.25,11.65,29,11.81,28.62,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33","pilanesberg",2022-01-25,"nr46","white rhino","std","horn reduction","male","calf","wild",16,15,26.5,42.5,0,0,2.67,0.27,0.59,1.69,2.74,0.31,0.62,1.69,0.59,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34","pilanesberg",2022-01-25,"nr63","white rhino","std","horn reduction","female","adult","wild",23,30,40,47.5,0,0,2.75,0.29,0.69,1.61,2.72,0.34,0.69,1.56,0.69,0.69,11.62,28.5,11.73,28.75,11.78,28.62,11.72,28.75,11.28,29.87,11.5,29.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
